,id,sensor_id,timestamps,x,y,z,activity_label,ankle_l_x,ankle_l_y,ankle_l_z,ankle_r_x,ankle_r_y,ankle_r_z,belt_x,belt_y,belt_z,chest_x,chest_y,chest_z,labelWalking,labelFalling,labelLyingDown,labelLying,labelSittingDown,labelSitting,labelStandingFromLying,labelOnAllFours,labelSittingOnTheGround,labelStandingFromSitting,labelStandingFromSittingOnTheGround
45881,B04,020-000-033-111,1243431454809999872,2.81705522537,1.16498923302,1.21169090271,walking,,,,,,,,,,2.81705522537,1.16498923302,1.21169090271,1,0,0,0,0,0,0,0,0,0,0
45882,B04,010-000-030-096,1243431454836999936,3.10455441475,1.55600917339,-0.0210665464401,walking,,,,3.10455441475,1.55600917339,-0.0210665464401,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45883,B04,010-000-024-033,1243431454889999872,2.73743152618,1.05041396618,0.376620948315,walking,2.73743152618,1.05041396618,0.376620948315,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45884,B04,020-000-033-111,1243431454916999936,2.81703257561,1.19317638874,1.20615708828,walking,,,,,,,,,,2.81703257561,1.19317638874,1.20615708828,1,0,0,0,0,0,0,0,0,0,0
45885,B04,020-000-032-221,1243431454969999872,2.87131524086,1.30071520805,0.773654580116,walking,,,,,,,2.87131524086,1.30071520805,0.773654580116,,,,1,0,0,0,0,0,0,0,0,0,0
45886,B04,010-000-024-033,1243431455000000000,2.74057006836,0.724158525467,-0.117400929332,walking,2.74057006836,0.724158525467,-0.117400929332,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45887,B04,020-000-033-111,1243431455027000064,2.83643841743,1.19395792484,1.20832705498,walking,,,,,,,,,,2.83643841743,1.19395792484,1.20832705498,1,0,0,0,0,0,0,0,0,0,0
45888,B04,010-000-030-096,1243431455052999936,3.06873106956,1.53383159637,0.05091778934,walking,,,,3.06873106956,1.53383159637,0.05091778934,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45889,B04,020-000-033-111,1243431455132999936,2.83801388741,1.1930283308,1.19155263901,walking,,,,,,,,,,2.83801388741,1.1930283308,1.19155263901,1,0,0,0,0,0,0,0,0,0,0
45890,B04,010-000-030-096,1243431455160000000,3.08700346947,1.53644680977,-0.0398260094225,walking,,,,3.08700346947,1.53644680977,-0.0398260094225,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45891,B04,020-000-032-221,1243431455187000064,2.89226412773,1.27146220207,0.745410621166,walking,,,,,,,2.89226412773,1.27146220207,0.745410621166,,,,1,0,0,0,0,0,0,0,0,0,0
45892,B04,010-000-024-033,1243431455212999936,2.73238682747,1.01401603222,0.337016493082,walking,2.73238682747,1.01401603222,0.337016493082,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45893,B04,020-000-033-111,1243431455240000000,2.81833696365,1.19451069832,1.21450686455,walking,,,,,,,,,,2.81833696365,1.19451069832,1.21450686455,1,0,0,0,0,0,0,0,0,0,0
45894,B04,010-000-030-096,1243431455270000128,3.09821772575,1.58479642868,-0.117914542556,walking,,,,3.09821772575,1.58479642868,-0.117914542556,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45895,B04,010-000-024-033,1243431455323000064,2.81230664253,1.14794003963,0.206658244133,walking,2.81230664253,1.14794003963,0.206658244133,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45896,B04,020-000-033-111,1243431455350000128,2.81760859489,1.22423708439,1.20445287228,walking,,,,,,,,,,2.81760859489,1.22423708439,1.20445287228,1,0,0,0,0,0,0,0,0,0,0
45897,B04,010-000-030-096,1243431455376999936,3.11483263969,1.53687691689,-0.084259301424,walking,,,,3.11483263969,1.53687691689,-0.084259301424,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45898,B04,020-000-032-221,1243431455403000064,2.8545999527,1.29337239265,0.789822101593,walking,,,,,,,2.8545999527,1.29337239265,0.789822101593,,,,1,0,0,0,0,0,0,0,0,0,0
45899,B04,010-000-024-033,1243431455430000128,2.76240253448,1.01844656467,0.39949208498,walking,2.76240253448,1.01844656467,0.39949208498,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45900,B04,020-000-033-111,1243431455456999936,2.81850886345,1.19092845917,1.16853952408,walking,,,,,,,,,,2.81850886345,1.19092845917,1.16853952408,1,0,0,0,0,0,0,0,0,0,0
45901,B04,010-000-030-096,1243431455483000064,3.07269215584,1.5033134222,-0.134570732713,walking,,,,3.07269215584,1.5033134222,-0.134570732713,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45902,B04,010-000-024-033,1243431455540000000,2.82904672623,1.2533134222,0.310777276754,walking,2.82904672623,1.2533134222,0.310777276754,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45903,B04,020-000-033-111,1243431455567000064,2.83174872398,1.14440119267,1.1499158144,walking,,,,,,,,,,2.83174872398,1.14440119267,1.1499158144,1,0,0,0,0,0,0,0,0,0,0
45904,B04,010-000-030-096,1243431455592999936,3.09246683121,1.57159376144,-0.085454583168,walking,,,,3.09246683121,1.57159376144,-0.085454583168,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45905,B04,020-000-032-221,1243431455620000000,2.85973930359,1.25572478771,0.755169153214,walking,,,,,,,2.85973930359,1.25572478771,0.755169153214,,,,1,0,0,0,0,0,0,0,0,0,0
45906,B04,010-000-024-033,1243431455647000064,2.70334672928,1.01304101944,0.215097025037,walking,2.70334672928,1.01304101944,0.215097025037,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45907,B04,020-000-033-111,1243431455672999936,2.79732060432,1.19216966629,1.19319391251,walking,,,,,,,,,,2.79732060432,1.19216966629,1.19319391251,1,0,0,0,0,0,0,0,0,0,0
45908,B04,010-000-030-096,1243431455700000000,3.10091114044,1.5610370636,0.0360834375024,walking,,,,3.10091114044,1.5610370636,0.0360834375024,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45909,B04,010-000-024-033,1243431455756999936,2.82210183144,1.19556593895,0.169957563281,walking,2.82210183144,1.19556593895,0.169957563281,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45910,B04,020-000-033-111,1243431455783000064,2.79682707787,1.22230648994,1.20531535149,walking,,,,,,,,,,2.79682707787,1.22230648994,1.20531535149,1,0,0,0,0,0,0,0,0,0,0
45911,B04,010-000-030-096,1243431455809999872,3.08440494537,1.49265193939,-0.0179019570351,walking,,,,3.08440494537,1.49265193939,-0.0179019570351,,,,,,,1,0,0,0,0,0,0,0,0,0,0
45912,B04,020-000-032-221,1243431455836999936,2.83029413223,1.27327787876,0.785507798195,walking,,,,,,,2.83029413223,1.27327787876,0.785507798195,,,,1,0,0,0,0,0,0,0,0,0,0
